               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.072065,            0.025357,                   0,            0.041203,                   1,            0.046279,           0.0046279,             0.03777,            0.017413,                   0,           0.0004832,           0.0004832,            0.092483
                  81,            0.045894,              0.0321,                   0,            0.053881,                   1,            0.056857,            0.011371,            0.036427,            0.017148,                   0,          0.00048523,          0.00048523,            0.092385
                  82,            0.066437,             0.02397,                   0,            0.057874,                   1,            0.062187,           0.0078081,            0.034083,            0.017225,                   0,          0.00048716,          0.00048716,            0.092287
                  83,             0.04298,            0.023922,                   0,            0.055489,                   1,            0.058529,           0.0073513,            0.031926,            0.017444,                   0,          0.00048899,          0.00048899,            0.092189
                  84,            0.062031,            0.024981,                   0,            0.058557,                   1,            0.058529,            0.011706,            0.033069,            0.017283,                   0,          0.00049073,          0.00049073,            0.092091
                  85,            0.058975,            0.022255,                   0,            0.053599,                   1,            0.058529,            0.017614,            0.031714,            0.017451,                   0,          0.00049236,          0.00049236,            0.091992
                  86,            0.061922,             0.02248,                   0,            0.065438,             0.98091,            0.066333,            0.019175,            0.031315,            0.017407,                   0,           0.0004939,           0.0004939,            0.091894
                  87,            0.074352,            0.023181,                   0,              0.0811,                 0.5,            0.076964,            0.024366,            0.030593,            0.017297,                   0,          0.00049533,          0.00049533,            0.091795
                  88,            0.066966,            0.027976,                   0,            0.083549,                 0.5,            0.089483,            0.031118,            0.030943,            0.017045,                   0,          0.00049667,          0.00049667,            0.091697
                  89,            0.054686,            0.024229,                   0,            0.095793,                 0.5,             0.07331,            0.040318,            0.031254,            0.016764,                   0,          0.00049791,          0.00049791,            0.091598
                  90,             0.04552,            0.023463,                   0,            0.096147,                 0.5,             0.08075,            0.043554,            0.031285,            0.016546,                   0,          0.00049905,          0.00049905,            0.091499
                  91,            0.069026,            0.026454,                   0,            0.071961,                   1,            0.076538,            0.038316,            0.030895,            0.016474,                   0,          0.00050009,          0.00050009,              0.0914
                  92,            0.061958,            0.032552,                   0,            0.094897,                   1,             0.10474,             0.05098,            0.030137,            0.016447,                   0,          0.00050103,          0.00050103,            0.091301
                  93,            0.037009,            0.016983,                   0,             0.11471,                 0.5,             0.10733,            0.040156,            0.028349,            0.016741,                   0,          0.00050187,          0.00050187,            0.091202
                  94,            0.058686,            0.022335,                   0,             0.12216,                 0.5,            0.084097,             0.04579,            0.026892,            0.017653,                   0,          0.00050262,          0.00050262,            0.091103
                  95,            0.041791,            0.025011,                   0,            0.065726,                 0.5,            0.065855,            0.040628,            0.025775,            0.017605,                   0,          0.00050326,          0.00050326,            0.091003
                  96,            0.040585,            0.021025,                   0,            0.069853,                   1,            0.071071,            0.041808,            0.026337,             0.01741,                   0,          0.00050381,          0.00050381,            0.090904
                  97,            0.056144,            0.024804,                   0,            0.083544,                   1,            0.090455,            0.053562,             0.02781,            0.017206,                   0,          0.00050425,          0.00050425,            0.090804
                  98,            0.057529,            0.032061,                   0,            0.097557,                   1,             0.11451,            0.059901,            0.029091,            0.016953,                   0,           0.0005046,           0.0005046,            0.090705
                  99,            0.041713,            0.023172,                   0,             0.30176,                 0.5,             0.23643,             0.14186,            0.029564,            0.016783,                   0,          0.00050485,          0.00050485,            0.090605
                 100,             0.07619,            0.026803,                   0,             0.32818,                 0.5,             0.24192,             0.12481,            0.030068,            0.016624,                   0,            0.000505,            0.000505,            0.090505
                 101,            0.056832,            0.027375,                   0,             0.32889,                 0.5,             0.23167,             0.11918,            0.030194,            0.016515,                   0,          0.00050505,          0.00050505,            0.090405
                 102,            0.053777,            0.034132,                   0,             0.49776,                 0.5,             0.30632,             0.21443,            0.030544,            0.016244,                   0,            0.000505,            0.000505,            0.090305
                 103,            0.047139,             0.02246,                   0,             0.93966,                 0.5,             0.55382,             0.38768,            0.028484,             0.01619,                   0,          0.00050485,          0.00050485,            0.090205
                 104,            0.038403,            0.024245,                   0,              0.9779,                 0.5,             0.56643,              0.3965,            0.029072,            0.015959,                   0,          0.00050461,          0.00050461,            0.090105
                 105,            0.050289,            0.027114,                   0,             0.99147,                 0.5,             0.56167,             0.39317,            0.027571,            0.015766,                   0,          0.00050426,          0.00050426,            0.090004
                 106,            0.052673,            0.023862,                   0,             0.99344,                 0.5,             0.56167,             0.34369,            0.027177,            0.015709,                   0,          0.00050382,          0.00050382,            0.089904
                 107,            0.073019,            0.023945,                   0,             0.98369,                 0.5,             0.57192,               0.347,            0.028015,            0.015525,                   0,          0.00050327,          0.00050327,            0.089803
                 108,              0.0687,            0.023904,                   0,              0.9673,                 0.5,             0.57192,               0.347,            0.027171,            0.015435,                   0,          0.00050263,          0.00050263,            0.089703
                 109,            0.068278,            0.023222,                   0,             0.98529,                 0.5,             0.58591,             0.41014,            0.025405,            0.015394,                   0,          0.00050189,          0.00050189,            0.089602
                 110,            0.034182,            0.021066,                   0,             0.98534,                 0.5,             0.60611,             0.47382,            0.024718,            0.015247,                   0,          0.00050105,          0.00050105,            0.089501
                 111,            0.055997,            0.025433,                   0,             0.49584,                 0.5,                0.62,               0.496,             0.02423,            0.015077,                   0,          0.00050011,          0.00050011,              0.0894
                 112,            0.067248,            0.031622,                   0,              0.9869,                 0.5,             0.66167,             0.52933,            0.025172,            0.015011,                   0,          0.00049907,          0.00049907,            0.089299
                 113,            0.034341,            0.024212,                   0,             0.98723,                 0.5,               0.695,             0.53604,            0.024993,            0.014985,                   0,          0.00049793,          0.00049793,            0.089198
                 114,            0.050756,            0.019475,                   0,              0.9924,                 0.5,               0.745,             0.57104,            0.024203,            0.015087,                   0,           0.0004967,           0.0004967,            0.089097
                 115,            0.052629,             0.01838,                   0,             0.98737,                 0.5,               0.745,             0.57104,            0.023937,            0.014987,                   0,          0.00049536,          0.00049536,            0.088995
                 116,            0.062361,            0.025412,                   0,             0.66388,             0.99163,             0.82833,             0.62938,            0.025096,            0.014815,                   0,          0.00049393,          0.00049393,            0.088894
                 117,            0.056985,             0.02544,                   0,             0.66171,             0.98514,             0.82833,             0.59608,            0.025635,            0.014693,                   0,          0.00049239,          0.00049239,            0.088792
                 118,            0.053433,            0.028243,                   0,             0.99183,                 0.5,               0.695,             0.51609,            0.025757,            0.014595,                   0,          0.00049076,          0.00049076,            0.088691
                 119,            0.058377,            0.022849,                   0,             0.99753,                   1,               0.995,             0.72129,            0.027515,            0.014161,                   0,          0.00048903,          0.00048903,            0.088589
                 120,            0.042516,            0.019027,                   0,             0.99943,                   1,               0.995,             0.59617,             0.02691,            0.013918,                   0,           0.0004872,           0.0004872,            0.088487
                 121,            0.031503,            0.016143,                   0,               0.999,                   1,               0.995,             0.59617,            0.026261,            0.013847,                   0,          0.00048527,          0.00048527,            0.088385
                 122,            0.063748,            0.019787,                   0,             0.99936,                   1,               0.995,             0.54621,            0.027598,            0.013538,                   0,          0.00048324,          0.00048324,            0.088283
                 123,            0.058543,            0.021824,                   0,                   1,             0.99874,               0.995,             0.54621,            0.028219,            0.013317,                   0,          0.00048111,          0.00048111,            0.088181
                 124,            0.059977,            0.027377,                   0,              0.9995,                   1,               0.995,             0.54621,            0.026851,            0.013321,                   0,          0.00047889,          0.00047889,            0.088079
                 125,            0.065219,            0.021548,                   0,             0.99955,                   1,               0.995,             0.64613,            0.025672,            0.013574,                   0,          0.00047656,          0.00047656,            0.087977
                 126,            0.051392,            0.021088,                   0,             0.99899,                   1,               0.995,             0.54663,            0.024608,            0.013658,                   0,          0.00047414,          0.00047414,            0.087874
                 127,            0.046669,            0.022713,                   0,             0.99914,                   1,               0.995,             0.59658,            0.022873,            0.013689,                   0,          0.00047161,          0.00047161,            0.087772
                 128,            0.032008,             0.02067,                   0,              0.9993,                   1,               0.995,             0.69609,            0.022876,            0.013633,                   0,          0.00046899,          0.00046899,            0.087669
                 129,            0.049848,            0.020566,                   0,                   1,             0.99984,               0.995,             0.69609,            0.023455,            0.013527,                   0,          0.00046627,          0.00046627,            0.087566
                 130,            0.054913,            0.031986,                   0,             0.99931,                   1,               0.995,             0.74604,            0.023532,            0.013221,                   0,          0.00046345,          0.00046345,            0.087463
                 131,            0.054056,            0.022846,                   0,             0.99974,                   1,               0.995,              0.6965,            0.023151,             0.01306,                   0,          0.00046053,          0.00046053,            0.087361
                 132,             0.05816,            0.025709,                   0,             0.99937,                   1,               0.995,              0.6965,            0.025231,             0.01277,                   0,          0.00045751,          0.00045751,            0.087258
                 133,            0.033984,            0.016578,                   0,             0.99908,                   1,               0.995,             0.69609,            0.022902,            0.012871,                   0,          0.00045439,          0.00045439,            0.087154
                 134,            0.032344,            0.025125,                   0,             0.99935,                   1,               0.995,              0.6965,            0.023409,            0.012679,                   0,          0.00045118,          0.00045118,            0.087051
                 135,            0.048668,            0.018931,                   0,             0.99919,                   1,               0.995,             0.62179,             0.02434,            0.012495,                   0,          0.00044786,          0.00044786,            0.086948
                 136,            0.047352,            0.023741,                   0,             0.99882,                   1,               0.995,             0.62179,            0.023696,            0.012356,                   0,          0.00044445,          0.00044445,            0.086844
                 137,            0.051869,            0.021394,                   0,             0.99965,                   1,               0.995,             0.54709,            0.024601,            0.012077,                   0,          0.00044093,          0.00044093,            0.086741
                 138,            0.031426,             0.02184,                   0,             0.99949,                   1,               0.995,             0.54709,            0.024771,            0.011934,                   0,          0.00043732,          0.00043732,            0.086637
                 139,            0.051753,            0.025707,                   0,             0.99976,                   1,               0.995,             0.54709,            0.025387,            0.011758,                   0,          0.00043361,          0.00043361,            0.086534
                 140,            0.067633,            0.025959,                   0,             0.99998,                   1,               0.995,             0.54709,            0.025681,            0.011593,                   0,           0.0004298,           0.0004298,             0.08643
                 141,             0.07284,             0.01927,                   0,             0.99937,                   1,               0.995,             0.64658,            0.023865,            0.011928,                   0,          0.00042589,          0.00042589,            0.086326
                 142,            0.050447,            0.021492,                   0,             0.99964,                   1,               0.995,             0.72129,            0.021981,            0.012021,                   0,          0.00042188,          0.00042188,            0.086222
                 143,            0.044572,            0.021848,                   0,             0.99995,                   1,               0.995,             0.72129,              0.0204,             0.01204,                   0,          0.00041777,          0.00041777,            0.086118
                 144,            0.059453,            0.023826,                   0,                   1,             0.99935,               0.995,             0.74609,            0.019195,            0.011899,                   0,          0.00041357,          0.00041357,            0.086014
                 145,            0.061583,            0.018704,                   0,             0.99974,                   1,               0.995,             0.74609,             0.01904,            0.011803,                   0,          0.00040926,          0.00040926,            0.085909
                 146,            0.043129,            0.022176,                   0,              0.9989,                   1,               0.995,             0.74609,            0.019187,            0.011656,                   0,          0.00040486,          0.00040486,            0.085805
                 147,            0.039553,            0.021271,                   0,             0.99983,                   1,               0.995,             0.82079,            0.019238,            0.011511,                   0,          0.00040035,          0.00040035,              0.0857
                 148,            0.046193,            0.018297,                   0,             0.99961,                   1,               0.995,             0.82079,            0.019201,            0.011309,                   0,          0.00039575,          0.00039575,            0.085596
                 149,            0.058348,            0.020565,                   0,             0.99977,                   1,               0.995,              0.8955,            0.018765,            0.011219,                   0,          0.00039105,          0.00039105,            0.085491
                 150,            0.052355,            0.019978,                   0,             0.99949,                   1,               0.995,             0.82079,            0.018458,            0.011147,                   0,          0.00038625,          0.00038625,            0.085386
                 151,            0.047289,            0.024631,                   0,             0.99993,                   1,               0.995,             0.72129,            0.018724,            0.011155,                   0,          0.00038135,          0.00038135,            0.085281
                 152,            0.051204,            0.022958,                   0,             0.99926,                   1,               0.995,               0.796,            0.019211,            0.011053,                   0,          0.00037635,          0.00037635,            0.085176
                 153,            0.048523,            0.020897,                   0,               0.999,                   1,               0.995,               0.796,            0.019928,             0.01091,                   0,          0.00037125,          0.00037125,            0.085071
                 154,            0.054414,            0.019254,                   0,             0.99973,                   1,               0.995,               0.796,            0.018441,             0.01096,                   0,          0.00036606,          0.00036606,            0.084966
                 155,            0.049442,            0.025731,                   0,             0.99959,                   1,               0.995,             0.72129,            0.018483,            0.010906,                   0,          0.00036076,          0.00036076,            0.084861
                 156,            0.066823,            0.020196,                   0,             0.99989,                   1,               0.995,             0.82079,            0.018751,            0.010813,                   0,          0.00035537,          0.00035537,            0.084755
                 157,            0.053581,             0.02233,                   0,             0.99969,                   1,               0.995,             0.74609,            0.019475,            0.010741,                   0,          0.00034987,          0.00034987,             0.08465
                 158,            0.047909,            0.017215,                   0,             0.99981,                   1,               0.995,             0.72129,            0.020569,            0.010665,                   0,          0.00034428,          0.00034428,            0.084544
                 159,            0.046333,            0.025365,                   0,             0.99946,                   1,               0.995,             0.64658,            0.021281,            0.010585,                   0,          0.00033859,          0.00033859,            0.084439
                 160,            0.041062,            0.019315,                   0,                   1,             0.99979,               0.995,             0.72129,            0.019621,            0.010583,                   0,           0.0003328,           0.0003328,            0.084333
                 161,            0.043138,            0.018099,                   0,             0.99927,                   1,               0.995,             0.74609,            0.019404,            0.010528,                   0,          0.00032691,          0.00032691,            0.084227
                 162,            0.041753,            0.016878,                   0,             0.99946,                   1,               0.995,             0.74609,            0.019746,            0.010516,                   0,          0.00032092,          0.00032092,            0.084121
                 163,            0.028886,            0.014748,                   0,             0.99997,                   1,               0.995,             0.67138,            0.020072,             0.01042,                   0,          0.00031483,          0.00031483,            0.084015
                 164,            0.047661,            0.022613,                   0,              0.9997,                   1,               0.995,             0.67138,            0.020055,            0.010402,                   0,          0.00030865,          0.00030865,            0.083909
                 165,            0.028425,            0.013875,                   0,             0.99938,                   1,               0.995,             0.67138,            0.018548,            0.010365,                   0,          0.00030236,          0.00030236,            0.083802
                 166,            0.036498,             0.02132,                   0,             0.99951,                   1,               0.995,             0.64658,            0.019714,            0.010249,                   0,          0.00029598,          0.00029598,            0.083696
                 167,            0.034004,            0.022791,                   0,             0.99965,                   1,               0.995,             0.64658,            0.019001,            0.010195,                   0,          0.00028949,          0.00028949,            0.083589
